"CampaignID"|"CampaignName"|"CampaignYear"|"CampaignHealthConditionID"|"CampaignStartDate"|"CampaignEndDate"|"isActiveFlag"|"CrossixRxcategory"|"CrossixRank"
"178"|"XIFAXAN"|"2015"|"16"|"20151009"|"20151231"|"N"|"DIGESTIVE HEALTH"|""
"179"|"ENBREL DERM"|"2015"|"40"|"20151102"|"20151231"|"N"|"PSORIASIS"|""
"180"|"ENBREL PSA"|"2015"|"288"|"20151102"|"20151231"|"N"|"PSORIATIC ARTHRITIS"|""
"181"|"ENBREL RA"|"2015"|"25"|"20151103"|"20151231"|"N"|"RHEUMATOID ARTHRITIS"|""
"182"|"PROLIA"|"2015"|"95"|"20151104"|"20151231"|"N"|"OSTEOPOROSIS"|""
"197"|"LIFESCRIPT_AFIB"|"2015"|"296"|"20150101"|"20150101"|"N"|""|""
"198"|"LIFESCRIPT_DIABETES"|"2015"|"2"|"20150101"|"20150101"|"N"|""|""
"199"|"LIFESCRIPT_HEPC"|"2015"|"156"|"20150101"|"20150101"|"N"|""|""
"200"|"LIFESCRIPT_OSTEOPOROSIS"|"2015"|"95"|"20150101"|"20150101"|"N"|""|""
"201"|"LIFESCRIPT_PSORIASIS"|"2015"|"40"|"20150101"|"20150101"|"N"|""|""
"202"|"LIFESCRIPT_RA"|"2015"|"25"|"20150101"|"20150101"|"N"|""|""
"203"|"CREON"|"2016"|"16"|"20160104"|"20161231"|"N"|"DIGESTIVE HEALTH"|""
"204"|"HUMIRA CROHN'S"|"2016"|"10"|"20160104"|"20161231"|"N"|"DIGESTIVE HEALTH"|""
"205"|"HUMIRA PSA"|"2016"|"288"|"20160104"|"20161231"|"N"|"PSORIATIC ARTHRITIS"|""
"206"|"HUMIRA RA"|"2016"|"25"|"20160104"|"20161231"|"N"|"RHEUMATOID ARTHRITIS"|""
"207"|"HUMIRA UC"|"2016"|"147"|"20160104"|"20161231"|"N"|"DIGESTIVE HEALTH"|""
"208"|"SYNTHROID"|"2016"|"261"|"20160104"|"20161231"|"N"|"HYPOTHYROIDISM"|""
"209"|"TECFIDERA"|"2016"|"106"|"20160121"|"20161231"|"N"|"MULTIPLE SCLEROSIS"|""
"210"|"INVOKANA"|"2016"|"2"|"20160122"|"20161225"|"N"|"DIABETES"|""
"211"|"HUMIRA AS"|"2016"|"-1"|"20160201"|"20161231"|"N"|"ANKYLOSING SPONDYLITIS"|""
"212"|"TOUJEO"|"2016"|"2"|"20160205"|"20161231"|"N"|"DIABETES"|""
"213"|"FARXIGA"|"2016"|"2"|"20160210"|"20161231"|"N"|"DIABETES"|""
"214"|"REXULTI"|"2016"|"19"|"20160215"|"20161231"|"N"|"DEPRESSION"|""
"215"|"BYDUREON"|"2016"|"2"|"20160224"|"20160603"|"N"|"DIABETES"|""
"216"|"AUBAGIO"|"2016"|"106"|"20160301"|"20160831"|"N"|"MULTIPLE SCLEROSIS"|""
"217"|"HARVONI"|"2016"|"156"|"20160111"|"20161231"|"N"|"HEPATITIS C"|""
"218"|"STELARA"|"2016"|"40"|"20160308"|"20161225"|"N"|"PSORIASIS"|""
"219"|"ENTRESTO"|"2016"|"79"|"20160215"|"20161231"|"N"|"HEART HEALTH"|""
"221"|"LIFESCAN"|"2016"|"2"|"20160310"|"20161231"|"N"|"DIABETES"|""
"222"|"LATUDA"|"2016"|"-1"|"20160401"|"20170331"|"N"|"DEPRESSION"|""
"223"|"TOUJEO LEADGEN"|"2016"|"2"|"20160104"|"20160930"|"N"|"DIABETES"|""
"224"|"VYVANSE BED"|"2016"|"-1"|"20160309"|"20160531"|"N"|"BINGE EATING DISORDER"|""
"225"|"NOVOLOG"|"2016"|"-1"|"20160509"|"20161231"|"N"|"DIABETES"|""
"226"|"VICTOZA"|"2016"|"-1"|"20160509"|"20161231"|"N"|"DIABETES"|""
"227"|"INVOKANA LEAD GEN"|"2016"|"2"|"20160517"|"20161225"|"N"|""|""
"228"|"ENBREL PSA"|"2016"|"288"|"20160921"|"20161231"|"N"|"PSORIATIC ARTHRITIS"|""
"229"|"ENBREL RA"|"2016"|"25"|"20160701"|"20161231"|"N"|"RHEUMATOID ARTHRITIS"|""
"230"|"VICTOZA BEST DAY"|"2016"|"2"|"20161001"|"20161231"|"N"|"DIABETES"|""
"231"|"TOUJEO EMAIL INCREMENTAL"|"2016"|"2"|"20160921"|"20161231"|"N"|""|""
"232"|"TOUJEO INCREMENTAL"|"2016"|"2"|"20160901"|"20161231"|"N"|"DIABETES"|""
"233"|"TOUJEO LEADGEN INCREMENTAL"|"2016"|"2"|"20161017"|"20161231"|"N"|"DIABETES"|""
"234"|"XARELTO AFIB"|"2016"|"296"|"20161019"|"20161231"|"N"|"HEART HEALTH"|""
"235"|"COSENTYX AS"|"2016"|"-1"|"20161017"|"20161231"|"N"|""|""
"236"|"COSENTYX PSA"|"2016"|"288"|"20161017"|"20161231"|"N"|""|""
"237"|"INVOKANA TEST"|"2016"|"2"|"20160122"|"20161225"|"N"|"DIABETES"|""
"238"|"CREON"|"2017"|"16"|"20170103"|"20171231"|"Y"|"EPI"|"10"
"240"|"FARXIGA"|"2017"|"2"|"20170101"|"20171231"|"Y"|"DIABETES"|"8"
"243"|"HARVONI"|"2017"|"156"|"20170101"|"20171231"|"Y"|"HEPATITIS C"|"7"
"244"|"INVOKANA"|"2017"|"2"|"20170103"|"20171231"|"Y"|"DIABETES"|"1"
"245"|"DIABETES"|"2016"|"2"|"20160122"|"20161231"|"N"|""|""
"246"|"ENBREL DERM"|"2017"|"40"|"20170118"|"20171231"|"Y"|"PSORIASIS"|"14"
"247"|"ENTRESTO"|"2017"|"79"|"20170102"|"20171231"|"Y"|"HEART HEALTH"|"9"
"248"|"HUMIRA AS"|"2017"|"-1"|"20170103"|"20171231"|"Y"|"ANKYLOSING SPONDYLITIS"|"6"
"249"|"HUMIRA CROHN'S"|"2017"|"10"|"20170103"|"20171231"|"Y"|"DIGESTIVE HEALTH"|"5"
"250"|"HUMIRA PSA"|"2017"|"288"|"20170103"|"20171231"|"Y"|"PSORIATIC ARTHRITIS"|"4"
"251"|"HUMIRA RA"|"2017"|"25"|"20170103"|"20171231"|"Y"|"RHEUMATOID ARTHRITIS"|"3"
"252"|"HUMIRA UC"|"2017"|"147"|"20170103"|"20171231"|"Y"|"DIGESTIVE HEALTH"|"2"
"253"|"SYNTHROID"|"2017"|"261"|"20170103"|"20171231"|"Y"|"HYPOTHYROIDISM"|"12"
"254"|"SYNVISC ONE"|"1617"|"-1"|"20160616"|"20171231"|"Y"|"OSTEOARTHRITIS"|"13"
"255"|"BREO"|"2017"|"207"|"20170103"|"20171231"|"Y"|"ASTHMA"|"23"
"256"|"COSENTYX AS"|"2017"|"-1"|"20170131"|"20171231"|"Y"|"AKYLOSING SPONDYLITIS"|"11"
"257"|"COSENTYX PSA"|"2017"|"288"|"20170223"|"20171231"|"Y"|"PSORIATIC ARTHRITIS"|"19"
"258"|"GLEEVEC"|"2016"|"9"|"20160111"|"20161231"|"N"|""|""
"259"|"KEYTRUDA"|"2016"|"125"|"20160201"|"20161231"|"N"|""|""
"260"|"OTEZLA PSA"|"2017"|"288"|"20170206"|"20171231"|"Y"|"PSORIATIC ARTHRITIS"|"18"
"261"|"REXULTI"|"2017"|"19"|"20170102"|"20171231"|"Y"|"DEPRESSION"|"22"
"262"|"STELARA"|"2017"|"40"|"20170101"|"20171231"|"Y"|"PSORIASIS"|"21"
"263"|"TRIUMEQ BRANDED"|"2017"|"37"|"20170222"|"20171231"|"Y"|"HIV"|"20"
"264"|"WALGREENS PROACTIVE WELLNESS"|"2017"|"67"|"20170101"|"20170826"|"Y"|""|""
"265"|"WALGREENS ONCOLOGY"|"1617"|"9"|"20161201"|"20170826"|"Y"|"CANCER"|"17"
"266"|"BREO"|"2016"|"46"|"20160101"|"20161231"|"N"|"ASTHMA"|""
"269"|"INVOKANA LEAD GEN"|"2017"|"2"|"20170314"|"20171231"|"Y"|"DIABETES"|"15"
"270"|"RIBOCICLIB"|"2017"|"31"|"20170323"|"20171231"|"Y"|"BREAST CANCER"|"16"
"271"|"SYNVISC ONE"|"2017"|"-1"|"20170103"|"20171231"|"Y"|"OSTEOARTHRITIS"|""
"272"|"COLCRYS"|"2017"|"98"|"20170406"|"20171231"|"Y"|"GOUT"|"25"
"273"|"JARDIANCE"|"2017"|"2"|"20170201"|"20170831"|"Y"|"DIABETES"|"24"
"274"|"KEYTRUDA HEAD AND NECK"|"2017"|"9"|"20170110"|"20171231"|"Y"|"CANCER"|""
"275"|"KEYTRUDA LUNG"|"2017"|"125"|"20170125"|"20171231"|"Y"|"CANCER"|""
"276"|"NUPLAZID"|"2017"|"-1"|"20170501"|"20171231"|"Y"|"PARKINSONS"|""
"277"|"TRIUMEQ UNBRANDED"|"2017"|"37"|"20170309"|"20171231"|"Y"|"HIV"|""
"278"|"TRULANCE"|"2017"|"16"|"20170403"|"20171231"|"Y"|"DIGESTIVE HEALTH"|""
"279"|"XIIDRA"|"2017"|"-1"|"20170427"|"20171231"|"Y"|"VISION"|""
"280"|"XOLAIR"|"2017"|"1"|"20170301"|"20171231"|"Y"|"ALLERGIES"|""
"281"|"OCREVUS"|"2017"|"106"|"20170401"|"20171231"|"Y"|"MULTIPLE SCLEROSIS"|""
"282"|"EYLEA"|"2017"|"-1"|"20170608"|"20171231"|"Y"|""|""
"283"|"ANORO"|"2017"|"207"|"20170710"|"20171231"|"Y"|"COPD"|""
